check_id,category,what_to_verify,expected_result,command,blocking,notes
AC-001,Compatibility,Gymnasium/SB3 env checker still passes,"No observation shape, dtype, finite-value, reset, or step API errors",python scripts/check_env.py,yes,Run after observation changes.
AC-002,Tests,Full test suite passes,All tests pass or intentional skips are explained,pytest -q,yes,Do not delete tests to make this pass.
AC-003,Viewport,Target behind pursuer is not visible,target_visible false; viewport observation does not expose fresh perfect state,pytest -q -k 'viewport and hidden',yes,Core camera behavior.
AC-004,Viewport,Target in front and inside range/FOV is visible,target_visible true; target lock true,pytest -q -k 'viewport and visible',yes,Core detection behavior.
AC-005,Viewport,Target lock memory persists and expires,"has_target_lock true immediately after target leaves view, false after lock_memory_steps",pytest -q -k 'lock',yes,Prevents unstable search behavior.
AC-006,Fly-through,Direct path through target succeeds,terminated true; flythrough_intercept true; large positive reward,pytest -q -k 'flythrough and success',yes,Main new success behavior.
AC-007,Fly-through,Side pass is rejected,No terminal success when path does not intersect target volume,pytest -q -k 'side or miss',yes,Directly checks current failure mode.
AC-008,Reward,Reward breakdown contains all expected keys,"No missing reward components across normal, hidden, visible, success, and failure steps",pytest -q -k 'reward_breakdown',yes,Stable debug info for training.
AC-009,Rendering,Human render shows viewport and status,Window opens; no crash; heading/FOV/status are visible,python scripts/viewport_search_demo.py --render --target-mode straight,no,Manual visual check.
AC-010,Scripts,Regression demo distinguishes through vs beside,Direct fly-through PASS; side-pass rejection PASS,python scripts/flythrough_regression_demo.py,yes,Very important before training.
AC-011,Scripts,Viewport search demo runs,Script reports target acquisition and/or pursuit status without crashing,python scripts/viewport_search_demo.py --target-mode straight,yes,Basic non-training sanity check.
AC-012,Regression,Existing random/manual rollout scripts still run,"No crashes; outputs episode reward, length, capture/fly-through status, final distance",python scripts/random_rollout.py && python scripts/manual_policy_demo.py,yes,Protect previous working setup.
