component_id,reward_component,default_weight_or_formula,trigger,purpose,clamp_or_guardrail,priority,status,notes
R-001,flythrough_intercept_reward,+140.0 if flythrough_intercept else 0.0,Pursuer path segment intersects target capture volume and optional closing-speed gate passes,Make flying through the target the true dominant objective,Terminal reward only; do not award for side-by-side proximity,P0,implemented,Split from compatibility capture_reward; side passes do not terminate when require_flythrough_success is true.
R-002,distance_progress_reward,"4.0 * clip(previous_distance - current_distance, -5.0, 5.0)",Every step,Keep current good dense shaping so training remains fast,Clip progress to avoid giant-step exploits,P0,keep_with_adjustment,This already seems to work well. Preserve it unless it conflicts with viewport mode.
R-003,aim_through_target_reward,+1.0 * normalized_projected_hit_quality,When target is visible or locked or LOS reward gating is disabled,Reward lining up the velocity/path through the target instead of flying beside it,"Clamp to [0.0, 1.0]",P0,implemented,Uses projected closest approach from current velocity ray to target.
R-004,miss_distance_penalty,-0.05 * projected_miss_distance,When target is visible or locked and pursuer speed is meaningful,Penalize predicted path passing beside target,"Clamp to [-2.0, 0.0]",P1,proposed,"Use projected closest approach, not raw final-step distance."
R-005,first_acquisition_reward,+5.0 when target_visible changes false to true for first time,First visual acquisition in episode,Teach search behavior under limited camera FOV,Award once per episode,P0,implemented,Meaningful but far below intercept reward.
R-006,visibility_reward,+0.15 per step while target_visible,Target visible in viewport,Encourage keeping target in camera view,Small dense reward only,P1,implemented,Paired with time penalty.
R-007,reacquisition_reward,+2.5 when target_visible becomes true after being unseen,Target reacquired after being lost,Encourage search recovery,Event reward only,P1,implemented,Useful once target evasive motion is harder.
R-008,lost_target_penalty,-0.08 per step when not visible and no lock,Target not visible and lock expired,Nudge the drone to search instead of ignore the camera,Keep small,P1,implemented,Too high could punish exploration badly.
R-009,closing_speed_reward,0.5 * clipped_closing_speed,Every step or visible/locked only,Reward actually closing range,"Clamp to reasonable bounds such as [-2.0, 2.0]",P0,keep,Good with fly-through objective.
R-010,velocity_alignment_reward,1.0 to 1.5 * cosine_similarity,Visible or locked target; optionally every step in privileged mode,Encourage moving toward the target/last-seen target,"Clamp to [-1.5, 1.5]",P0,keep_with_viewport_gate,"In viewport mode, avoid rewarding based on perfect hidden target state."
R-011,distance_penalty,-0.02 to -0.03 * current_distance,Every step in privileged mode; visible/locked estimate in viewport mode,Encourage staying near the target,Use last-seen estimate in viewport mode if target hidden,P1,keep_with_caution,Too much hidden-state distance shaping violates the viewport idea.
R-012,time_penalty,-0.05 per step,Every step,Encourage fast acquisition and interception,Constant small negative,P0,keep,Prevents farming visibility rewards.
R-013,energy_penalty,-0.02 * norm(action)^2,Every step,Discourage jittery max-throttle movement,Small penalty,P2,keep,Can reduce if it makes fly-through too timid.
R-014,smoothness_penalty,-0.01 * norm(action - previous_action)^2,Every step after first,Encourage stable drone-like motion,Small penalty,P2,keep,May conflict with search sweeping if too high.
R-015,altitude_safety_penalty,-2.0 * altitude violation distance,Too close to floor or ceiling,Avoid floor-skimming and ceiling-hugging,Only outside safe altitude band,P1,keep,Keep as safety shaping.
R-016,safety_failure_penalty,-100 crash; -75 out_of_bounds,Crash or out of bounds,Hard discourage invalid flight,Terminal penalty,P0,keep,No change needed.
